,demand,production
2017-01-01,0,0.0
2017-01-08,0,0.0
2017-01-15,0,0.0
2017-01-22,0,0.0
2017-01-29,0,0.0
2017-02-05,0,0.0
2017-02-12,0,0.0
2017-02-19,0,0.0
2017-02-26,0,0.0
2017-03-05,0,0.0
2017-03-12,0,0.0
2017-03-19,0,0.0
2017-03-26,0,0.0
2017-04-02,0,0.0
2017-04-09,0,0.0
2017-04-16,0,0.0
2017-04-23,0,0.0
2017-04-30,0,0.0
2017-05-07,0,0.0
2017-05-14,0,0.0
2017-05-21,0,0.0
2017-05-28,0,0.0
2017-06-04,0,0.0
2017-06-11,0,0.0
2017-06-18,0,0.0
2017-06-25,0,3567.0
2017-07-02,0,48663.799999999996
2017-07-09,0,171635.84999999998
2017-07-16,0,276352.3
2017-07-23,0,316502.8
2017-07-30,0,332087.05
2017-08-06,0,359536.07
2017-08-13,0,384953.44
2017-08-20,0,391735.82
2017-08-27,0,394126.12
2017-09-03,0,394725.5
2017-09-10,0,415177.72
2017-09-17,0,435680.64
2017-09-24,0,442962.25999999995
2017-10-01,0,442300.35
2017-10-08,0,438020.41
2017-10-15,0,434421.69999999995
2017-10-22,0,429261.6
2017-10-29,0,422780.47
2017-11-05,61875,415847.83999999997
2017-11-12,433125,412425.39
2017-11-19,433125,428083.55000000005
2017-11-26,433125,444355.78
2017-12-03,433125,445757.63
2017-12-10,437780,440438.33999999997
2017-12-17,457858,434577.45
2017-12-24,460894,429786.37
2017-12-31,460894,421771.66000000003
2018-01-07,452644,414445.02
2018-01-14,450316,406824.08999999997
2018-01-21,451612,398826.11
2018-01-28,451612,388309.14
2018-02-04,461638,381946.55000000005
2018-02-11,485731,373761.45999999996
2018-02-18,484435,365249.86
2018-02-25,484435,357390.88
2018-03-04,484435,357605.17
2018-03-11,479563,435284.07
2018-03-18,480277,535322.8999999999
2018-03-25,480277,550812.89
2018-04-01,480277,615132.97
2018-04-08,490037,637553.7
2018-04-15,496847,659080.26
2018-04-22,496643,641327.8499999999
2018-04-29,496643,644728.41
2018-05-06,490879,643419.04
2018-05-13,476671,638323.56
2018-05-20,477176,628440.87
2018-05-27,477176,586423.75
2018-06-03,477176,581178.75
2018-06-10,492776,573147.5
2018-06-17,494669,566071.25
2018-06-24,494669,559540.0
2018-07-01,494669,551708.75
2018-07-08,501434,542046.25
2018-07-15,510454,532183.75
2018-07-22,510454,524093.75
2018-07-29,510454,514376.25
2018-08-05,510801,475572.5
2018-08-12,512985,465996.25
2018-08-19,513597,455647.5
2018-08-26,513597,447698.75
2018-09-02,513597,440367.5
2018-09-09,498417,432291.25
2018-09-16,491739,423601.25
2018-09-23,491638,415025.0
2018-09-30,491638,403735.0
2018-10-07,503917,393068.75
2018-10-14,520592,384651.25
2018-10-21,520996,375675.0
2018-10-28,520996,366912.5
2018-11-04,520996,357522.5
2018-11-11,21864,348246.25
2018-11-18,21252,328997.5
2018-11-25,21252,190551.25
2018-12-02,21252,67100.0
2018-12-09,21252,35300.0
2018-12-16,6072,34200.0
2018-12-23,0,30900.0
2018-12-30,0,0.0
2019-01-06,0,0.0
2019-01-13,0,0.0
2019-01-20,0,0.0
2019-01-27,0,0.0
2019-02-03,0,0.0
2019-02-10,0,0.0
2019-02-17,0,0.0
2019-02-24,0,0.0
2019-03-03,0,0.0
2019-03-10,0,0.0
2019-03-17,0,0.0
2019-03-24,0,0.0
2019-03-31,0,0.0
2019-04-07,0,0.0
2019-04-14,0,0.0
2019-04-21,0,0.0
2019-04-28,0,0.0
2019-05-05,0,0.0
2019-05-12,0,0.0
2019-05-19,0,0.0
2019-05-26,0,0.0
2019-06-02,0,0.0
2019-06-09,0,0.0
2019-06-16,0,0.0
2019-06-23,0,0.0
2019-06-30,0,0.0
2019-07-07,0,0.0
2019-07-14,0,0.0
2019-07-21,0,0.0
2019-07-28,0,0.0
2019-08-04,0,0.0
2019-08-11,0,0.0
2019-08-18,0,0.0
2019-08-25,0,0.0
2019-09-01,0,0.0
2019-09-08,0,0.0
2019-09-15,0,0.0
2019-09-22,0,0.0
2019-09-29,0,0.0
2019-10-06,0,0.0
2019-10-13,0,0.0
2019-10-20,0,0.0
2019-10-27,0,0.0
2019-11-03,0,0.0
2019-11-10,0,0.0
2019-11-17,0,0.0
2019-11-24,0,0.0
2019-12-01,0,0.0
2019-12-08,0,0.0
2019-12-15,0,0.0
2019-12-22,0,0.0
2019-12-29,0,0.0
2020-01-05,0,0.0
