,previos,demand
2021-01-03,0,0
2021-01-10,0,0
2021-01-17,21706,0
2021-01-24,17197,0
2021-01-31,0,0
2021-02-07,0,0
2021-02-14,0,0
2021-02-21,0,0
2021-02-28,0,0
2021-03-07,0,0
2021-03-14,0,0
2021-03-21,32256,0
2021-03-28,0,0
2021-04-04,0,0
2021-04-11,0,0
2021-04-18,0,0
2021-04-25,0,0
2021-05-02,0,0
2021-05-09,0,0
2021-05-16,0,0
2021-05-23,0,0
2021-05-30,29609,0
2021-06-06,0,0
2021-06-13,0,0
2021-06-20,0,0
2021-06-27,0,0
2021-07-04,0,0
2021-07-11,0,0
2021-07-18,0,0
2021-07-25,29548,0
2021-08-01,0,0
2021-08-08,0,0
2021-08-15,0,0
2021-08-22,0,0
2021-08-29,0,0
2021-09-05,0,327235
2021-09-12,0,458129
2021-09-19,36692,458129
2021-09-26,0,458129
2021-10-03,0,463895
2021-10-10,0,471583
2021-10-17,0,471583
2021-10-24,0,471583
2021-10-31,0,471583
2021-11-07,0,450793
2021-11-14,0,450793
2021-11-21,24571,450793
2021-11-28,18393,450793
2021-12-05,0,480248
2021-12-12,0,492030
2021-12-19,0,492030
2021-12-26,0,492030
2022-01-02,0,476522
2022-01-09,0,437752
2022-01-16,0,437752
2022-01-23,0,437752
2022-01-30,0,437752
2022-02-06,0,448402
2022-02-13,25080,450177
2022-02-20,25059,450177
2022-02-27,0,450177
2022-03-06,0,467937
2022-03-13,0,470897
2022-03-20,0,470897
2022-03-27,0,470897
2022-04-03,0,482660
2022-04-10,0,498344
2022-04-17,0,498344
2022-04-24,0,498344
2022-05-01,0,496859
2022-05-08,0,487949
2022-05-15,0,487949
2022-05-22,0,487949
2022-05-29,0,487949
2022-06-05,0,507029
2022-06-12,0,514661
2022-06-19,0,514661
2022-06-26,0,514661
2022-07-03,0,511739
2022-07-10,0,507843
2022-07-17,0,507843
2022-07-24,0,507843
2022-07-31,0,507843
2022-08-07,0,519057
2022-08-14,0,519057
2022-08-21,0,519057
2022-08-28,0,519057
2022-09-04,0,525729
2022-09-11,0,530733
2022-09-18,0,530733
2022-09-25,0,530733
2022-10-02,0,528087
2022-10-09,0,521472
2022-10-16,0,521472
2022-10-23,0,521472
2022-10-30,0,521472
2022-11-06,0,520704
2022-11-13,0,520576
2022-11-20,0,520576
2022-11-27,0,520576
2022-12-04,0,545668
2022-12-11,0,564487
2022-12-18,0,564487
2022-12-25,0,564487
2023-01-01,0,549509
2023-01-08,0,459641
2023-01-15,0,459641
2023-01-22,0,459641
2023-01-29,0,459641
2023-02-05,0,468956
2023-02-12,0,494438
2023-02-19,0,494438
